method,path,host,group,name,url,doc_slug,evidence
,/events/data_series,rest.iad-01.braze.com,api,Export custom events analytics,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events_analytics,docs__api__endpoints__export__custom_events__get_custom_events_analytics,documented (published API reference)
,/events/list,rest.iad-01.braze.com,api,Export custom events list,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events,docs__api__endpoints__export__custom_events__get_custom_events,documented (published API reference)
,/export/segment/cancel,rest.iad-01.braze.com,api,Cancel exports by segment,https://www.braze.com/docs/api/endpoints/export/segments/post_cancel_export,docs__api__endpoints__export__segments__post_cancel_export,documented (published API reference)
,/fcm/send,fcm.googleapis.com,api,User attributes object,https://www.braze.com/docs/api/objects_filters/user_attributes_object,docs__api__objects_filters__user_attributes_object,documented (published API reference)
,/kpi/dau/data_series,rest.iad-01.braze.com,api,Export daily active users by date,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_dau_date,docs__api__endpoints__export__kpi__get_kpi_dau_date,documented (published API reference)
,/kpi/mau/data_series,rest.iad-01.braze.com,api,Export monthly active users for last 30 days,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_mau_30_days,docs__api__endpoints__export__kpi__get_kpi_mau_30_days,documented (published API reference)
,/kpi/new_users/data_series,rest.iad-01.braze.com,api,Export daily new users by date,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_daily_new_users_date,docs__api__endpoints__export__kpi__get_kpi_daily_new_users_date,documented (published API reference)
,/kpi/uninstalls/data_series,rest.iad-01.braze.com,api,Export KPIs for daily app uninstalls by date,https://www.braze.com/docs/api/endpoints/export/kpi/get_kpi_uninstalls_date,docs__api__endpoints__export__kpi__get_kpi_uninstalls_date,documented (published API reference)
,/media_library/create,rest.iad-01.braze.com,api,Upload an asset to the media library,https://www.braze.com/docs/api/endpoints/media_library/manage_assets/create,docs__api__endpoints__media_library__manage_assets__create,documented (published API reference)
,/media_library/replace_file,rest.iad-01.braze.com,api,Replace an asset in the media library,https://www.braze.com/docs/api/endpoints/media_library/manage_assets/replace_file,docs__api__endpoints__media_library__manage_assets__replace_file,documented (published API reference)
,/messages/live_activity/start,rest.iad-01.braze.com,api,Start Live Activity,https://www.braze.com/docs/api/endpoints/messaging/live_activity/start,docs__api__endpoints__messaging__live_activity__start,documented (published API reference)
,/messages/live_activity/update,rest.iad-01.braze.com,api,Update Live Activity,https://www.braze.com/docs/api/endpoints/messaging/live_activity/update,docs__api__endpoints__messaging__live_activity__update,documented (published API reference)
,/messages/schedule/create,rest.iad-01.braze.com,api,Create scheduled messages,https://www.braze.com/docs/api/endpoints/messaging/schedule_messages/post_schedule_messages,docs__api__endpoints__messaging__schedule_messages__post_schedule_messages,documented (published API reference)
,/messages/schedule/delete,rest.iad-01.braze.com,api,Delete scheduled messages,https://www.braze.com/docs/api/endpoints/messaging/schedule_messages/post_delete_scheduled_messages,docs__api__endpoints__messaging__schedule_messages__post_delete_scheduled_messages,documented (published API reference)
,/messages/schedule/update,rest.iad-01.braze.com,api,Update scheduled messages,https://www.braze.com/docs/api/endpoints/messaging/schedule_messages/post_update_scheduled_messages,docs__api__endpoints__messaging__schedule_messages__post_update_scheduled_messages,documented (published API reference)
,/messages/scheduled_broadcasts,rest.iad-01.braze.com,api,List upcoming scheduled campaigns and Canvases,https://www.braze.com/docs/api/endpoints/messaging/schedule_messages/get_messages_scheduled,docs__api__endpoints__messaging__schedule_messages__get_messages_scheduled,documented (published API reference)
,/messages/send,rest.iad-01.braze.com,api,Send messages immediately using the API only,https://www.braze.com/docs/api/endpoints/messaging/send_messages/post_send_messages,docs__api__endpoints__messaging__send_messages__post_send_messages,documented (published API reference)
,/preference_center/v1/,rest.iad-01.braze.com,api,Generate preference center URL,https://www.braze.com/docs/api/endpoints/preference_center/get_create_url_preference_center,docs__api__endpoints__preference_center__get_create_url_preference_center,documented (published API reference)
,/preference_center/v1/list,rest.iad-01.braze.com,api,List preference centers,https://www.braze.com/docs/api/endpoints/preference_center/get_list_preference_center,docs__api__endpoints__preference_center__get_list_preference_center,documented (published API reference)
,/preference_center/v1/politer_weekly_preference_center_api_id,rest.iad-01.braze.com,api,API use cases,https://www.braze.com/docs/api/use_cases,docs__api__use_cases,documented (published API reference)
,/preference_center/v1/preference_center_external_id,rest.iad-01.braze.com,api,View details for preference center,https://www.braze.com/docs/api/endpoints/preference_center/get_view_details_preference_center,docs__api__endpoints__preference_center__get_view_details_preference_center,documented (published API reference)
,/preference_center/v1/{preferenceCenterExternalId},rest.iad-01.braze.com,api,Update preference center,https://www.braze.com/docs/api/endpoints/preference_center/put_update_preference_center,docs__api__endpoints__preference_center__put_update_preference_center,documented (published API reference)
,/purchases/product_list,rest.iad-01.braze.com,api,Export product IDs,https://www.braze.com/docs/api/endpoints/export/purchases/get_list_product_id,docs__api__endpoints__export__purchases__get_list_product_id,documented (published API reference)
,/purchases/quantity_series,rest.iad-01.braze.com,api,Export number of purchases,https://www.braze.com/docs/api/endpoints/export/purchases/get_number_of_purchases,docs__api__endpoints__export__purchases__get_number_of_purchases,documented (published API reference)
,/purchases/revenue_series,rest.iad-01.braze.com,api,Export revenue data by time,https://www.braze.com/docs/api/endpoints/export/purchases/get_revenue_series,docs__api__endpoints__export__purchases__get_revenue_series,documented (published API reference)
GET,/scim/v2/Users,,api,Remove dashboard user account,https://www.braze.com/docs/api/endpoints/scim/delete_existing_dashboard_user,docs__api__endpoints__scim__delete_existing_dashboard_user,documented (published API reference)
,/scim/v2/Users,rest.iad-01.braze.com,api,Search existing dashboard user account by email,https://www.braze.com/docs/api/endpoints/scim/get_search_existing_dashboard_user,docs__api__endpoints__scim__get_search_existing_dashboard_user,documented (published API reference)
POST,/scim/v2/Users/,,api,Remove dashboard user account,https://www.braze.com/docs/api/endpoints/scim/delete_existing_dashboard_user,docs__api__endpoints__scim__delete_existing_dashboard_user,documented (published API reference)
,/scim/v2/Users/dfa245b7-24195aec-887bb3ad-602b3340,rest.iad-01.braze.com,api,Remove dashboard user account,https://www.braze.com/docs/api/endpoints/scim/delete_existing_dashboard_user,docs__api__endpoints__scim__delete_existing_dashboard_user,documented (published API reference)
,/segments/data_series,rest.iad-01.braze.com,api,Export segment analytics,https://www.braze.com/docs/api/endpoints/export/segments/get_segment_analytics,docs__api__endpoints__export__segments__get_segment_analytics,documented (published API reference)
,/segments/details,rest.iad-01.braze.com,api,Export segment details,https://www.braze.com/docs/api/endpoints/export/segments/get_segment_details,docs__api__endpoints__export__segments__get_segment_details,documented (published API reference)
,/segments/list,rest.iad-01.braze.com,api,Export segment list,https://www.braze.com/docs/api/endpoints/export/segments/get_segment,docs__api__endpoints__export__segments__get_segment,documented (published API reference)
,/sends/data_series,rest.iad-01.braze.com,api,Export send analytics,https://www.braze.com/docs/api/endpoints/export/campaigns/get_send_analytics,docs__api__endpoints__export__campaigns__get_send_analytics,documented (published API reference)
,/sends/id/create,rest.iad-01.braze.com,api,Create send IDs,https://www.braze.com/docs/api/endpoints/messaging/send_messages/post_create_send_ids,docs__api__endpoints__messaging__send_messages__post_create_send_ids,documented (published API reference)
,/sessions/data_series,rest.iad-01.braze.com,api,Export app session by time,https://www.braze.com/docs/api/endpoints/export/sessions/get_sessions_analytics,docs__api__endpoints__export__sessions__get_sessions_analytics,documented (published API reference)
,/sms/invalid_phone_numbers,rest.iad-01.braze.com,api,Query invalid phone numbers,https://www.braze.com/docs/api/endpoints/sms/get_query_invalid_numbers,docs__api__endpoints__sms__get_query_invalid_numbers,documented (published API reference)
,/sms/invalid_phone_numbers/remove,rest.iad-01.braze.com,api,Remove invalid phone numbers,https://www.braze.com/docs/api/endpoints/sms/post_remove_invalid_numbers,docs__api__endpoints__sms__post_remove_invalid_numbers,documented (published API reference)
,/subscription/status/get,rest.iad-03.braze.com,api,List user’s subscription group status,https://www.braze.com/docs/api/endpoints/subscription_groups/get_list_user_subscription_group_status,docs__api__endpoints__subscription_groups__get_list_user_subscription_group_status,documented (published API reference)
,/subscription/status/get,rest.iad-01.braze.com,api,List user’s subscription group status,https://www.braze.com/docs/api/endpoints/subscription_groups/get_list_user_subscription_group_status,docs__api__endpoints__subscription_groups__get_list_user_subscription_group_status,documented (published API reference)
,/subscription/status/set,rest.iad-01.braze.com,api,Update user’s subscription group status,https://www.braze.com/docs/api/endpoints/subscription_groups/post_update_user_subscription_group_status,docs__api__endpoints__subscription_groups__post_update_user_subscription_group_status,documented (published API reference)
,/subscription/user/status,rest.iad-03.braze.com,api,List user’s subscription groups,https://www.braze.com/docs/api/endpoints/subscription_groups/get_list_user_subscription_groups,docs__api__endpoints__subscription_groups__get_list_user_subscription_groups,documented (published API reference)
,/subscription/user/status,rest.iad-01.braze.com,api,List user’s subscription groups,https://www.braze.com/docs/api/endpoints/subscription_groups/get_list_user_subscription_groups,docs__api__endpoints__subscription_groups__get_list_user_subscription_groups,documented (published API reference)
,/templates/email/create,rest.iad-01.braze.com,api,Create email template,https://www.braze.com/docs/api/endpoints/templates/email_templates/post_create_email_template,docs__api__endpoints__templates__email_templates__post_create_email_template,documented (published API reference)
,/templates/email/info,rest.iad-01.braze.com,api,See email template information,https://www.braze.com/docs/api/endpoints/templates/email_templates/get_see_email_template_information,docs__api__endpoints__templates__email_templates__get_see_email_template_information,documented (published API reference)
,/templates/email/list,rest.iad-01.braze.com,api,List available email templates,https://www.braze.com/docs/api/endpoints/templates/email_templates/get_list_email_templates,docs__api__endpoints__templates__email_templates__get_list_email_templates,documented (published API reference)
,/templates/email/translations/,rest.iad-03.braze.com,api,View all translations and locales for an email template,https://www.braze.com/docs/api/endpoints/translations/email_templates/get_view_translation_template,docs__api__endpoints__translations__email_templates__get_view_translation_template,documented (published API reference)
,/templates/email/translations/source,rest.iad-03.braze.com,api,View the source translations for an email template,https://www.braze.com/docs/api/endpoints/translations/email_templates/get_view_source_template,docs__api__endpoints__translations__email_templates__get_view_source_template,documented (published API reference)
